0	x	y
인천광역시 부평구 부평문화로194번길 31-2	126.73703511640875	37.492285534388905
인천광역시 부평구 부평문화로 204	126.7389593613687	37.493032229788184
인천광역시 부평구 부평문화로216번길 7-1	126.74037542161378	37.49294164572418
인천광역시 부평구 부평문화로216번길 3-6	126.74048360222123	37.493050003986404
인천광역시 부평구 부평문화로194번길 31-1	126.7372203477069	37.492347214871835
인천광역시 부평구 부평문화로216번길 11-3	126.740289769495	37.492858565022885
인천광역시 부평구 동수천로 32-2	126.73324215955016	37.48919919785054
인천광역시 부평구 동수천로 28	126.732681193483	37.489233970116594
인천광역시 부평구 동수천로 30-1	126.73309737596135	37.489213286937094
인천광역시 부평구 동수천로 34-1	126.73336868502219	37.48923191965374
인천광역시 부평구 충선로65번길 5-1	126.73514468660947	37.494782500174466
인천광역시 부평구 부흥로376번길 35-7		
인천광역시 부평구 부흥로376번길 35-9		
인천광역시 부평구 충선로87번길 3	126.73556703521152	37.496870172142735
인천광역시 부평구 충선로73번길 31	126.73377957658201	37.49579936868729
인천광역시 부평구 부흥로386번길 36-12		
인천광역시 부평구 동수천로113번길 4		
인천광역시 부평구 충선로 54	126.73251718072233	37.496005672574434
인천광역시 부평구 충선로 60-1		
인천광역시 부평구 충선로 58-1		
인천광역시 부평구 충선로 58	126.73304308799592	37.50784245905036
인천광역시 부평구 수변로 82	126.74133253173852	37.49346272394158
인천광역시 부평구 수변로 70	126.74108179854613	37.492719746757096
인천광역시 부평구 수변로78번길 10-6	126.74128014362446	37.4929147983293
인천광역시 부평구 충선로 37-8	126.7338781883083	37.493503831654856
인천광역시 부평구 수변로107번길 39	126.74115350470025	37.49422277975747
인천광역시 부평구 수변로85번길 21	126.74029009957592	37.49406951606911
인천광역시 부평구 수변로107번길 3	126.74157355585284	37.49571215879167
인천광역시 부평구 부평문화로 187-8	126.73734585027563	37.49396569839198
인천광역시 부평구 수변로 83	126.74122746736859	37.493761627414436
인천광역시 부평구 동수천로96번길 25	126.7373473696274	37.49482345805929
인천광역시 부평구 수변로93번길 13	126.74076243002732	37.49482379328689
인천광역시 부평구 부평문화로 197	126.73836460779033	37.49366882544299
인천광역시 부평구 수변로107번길 34-1	126.74066369169356	37.494600127456486
인천광역시 부평구 부평문화로 187-1	126.7372738077411	37.49387183372388
인천광역시 부평구 수변로107번길 17	126.74125358420349	37.49536907674018
인천광역시 부평구 부평문화로 187-3	126.73736898355837	37.493817985069725
인천광역시 부평구 부평문화로 187-6	126.73744551148232	37.49392267170426
인천광역시 부평구 수변로85번길 34-29	126.73961419379809	37.49463025509933
인천광역시 부평구 수변로107번길 32-1	126.74071758400669	37.494711970310185
인천광역시 부평구 수변로85번길 8	126.74117630720728	37.49416876944016
인천광역시 부평구 부평문화로 187-4	126.73758138313944	37.49387251733423
인천광역시 부평구 수변로85번길 34-3	126.73951091091068	37.49441378632352
인천광역시 부평구 수변로85번길 25	126.74009106714442	37.49407268237658
인천광역시 부평구 수변로85번길 22-9	126.74008899390914	37.4946709448436
인천광역시 부평구 길주남로 133	126.73660917708173	37.50409494482314
인천광역시 부평구 길주남로 129	126.7360429554905	37.5043063176569
인천광역시 부평구 길주남로 117-7	126.7350615209366	37.504239248337626
인천광역시 부평구 충선로161번길 30	126.73465157781042	37.50375178658272
인천광역시 부평구 충선로149번길 12	126.73593019843362	37.50292572893979
인천광역시 부평구 길주남로114번길 5	126.73452952554818	37.50372628427119
인천광역시 부평구 충선로161번길 34	126.73456217433821	37.50344884869931
인천광역시 부평구 충선로 163	126.7361624258562	37.50378039879631
인천광역시 부평구 길주남로114번길 21	126.73440970751193	37.50307008470217
인천광역시 부평구 부흥북로 113	126.73491491094663	37.50092322761214
인천광역시 부평구 충선로 123	126.7359395907648	37.50025877992827
인천광역시 부평구 부흥로385번길 20	126.73547952575571	37.49859629981917
인천광역시 부평구 부흥로385번길 22-1	126.73549257490914	37.498744093663845
인천광역시 부평구 장제로156번길 76	126.73503485218382	37.49898453692219
인천광역시 부평구 부개로 6	126.7396933999754	37.49787404500838
인천광역시 부평구 부흥북로 134	126.73697454880694	37.50052778590276
인천광역시 부평구 광장로24번길 32		
인천광역시 부평구 경원대로1344번길 3	126.71827409579446	37.49086194617875
인천광역시 부평구 광장로24번길 17		
인천광역시 부평구 광장로30번길 35	126.72655188691536	37.490679570656106
인천광역시 부평구 광장로30번길 42-4	126.72671559360276	37.49043848014379
인천광역시 부평구 광장로24번길 41-4	126.7267297664283	37.490272728022404
인천광역시 부평구 경원대로 1408-1	126.72557389677304	37.49095841648665
인천광역시 부평구 광장로24번길 41-6	126.72659870606326	37.49024359264206
인천광역시 부평구 광장로30번길 42-10	126.72676128264764	37.490312445133796
인천광역시 부평구 경원대로1368번길 13	126.72100280639202	37.49050441574233
인천광역시 부평구 광장로4번길 52	126.71987537852435	37.49082610960505
인천광역시 부평구 광장로 6	126.72263005875189	37.49078215280819
인천광역시 부평구 경원대로1418번길 20	126.72622319642248	37.49027155521177
인천광역시 부평구 광장로30번길 42-6	126.72677908564798	37.49039177473991
인천광역시 부평구 광장로30번길 41-3	126.72687270292144	37.490766809238565
인천광역시 부평구 광장로30번길 18-9	126.72549026812102	37.49032751880541
인천광역시 부평구 경원대로1344번길 16	126.71835279973814	37.49037919530865
인천광역시 부평구 광장로 지하30	126.72447655828196	37.4904801318893
인천광역시 부평구 경원대로 1432	126.7281703923866	37.49088152678742
인천광역시 부평구 광장로24번길 21	126.72563947487271	37.49025218079997
인천광역시 부평구 광장로24번길 35	126.72656311368732	37.490081329380224
인천광역시 부평구 광장로30번길 80-3	126.72896952378919	37.49002921009697
인천광역시 부평구 경원대로1418번길 6-1	126.72616221409537	37.49086968111505
인천광역시 부평구 광장로 지하15	126.72348613676179	37.490448985788916
인천광역시 부평구 경원대로 1370-1	126.72129017335307	37.491070924999384
인천광역시 부평구 경원대로 1416	126.72626128568503	37.49098884334516
인천광역시 부평구 광장로30번길 65	126.7282529811792	37.49055735502396
인천광역시 부평구 광장로24번길 9	126.725006563576	37.490257917532354
인천광역시 부평구 원적로 481-1	126.72009063413037	37.50344067232122
인천광역시 부평구 원적로471번길 26-19	126.71986643941055	37.504117694925455
인천광역시 부평구 원적로481번길 27	126.71996853447517	37.504640518528504
인천광역시 부평구 원적로471번길 26-18	126.71972556904409	37.504286749275124
인천광역시 부평구 원적로 473	126.7192308404767	37.5035143161084
인천광역시 부평구 원적로471번길 16-6	126.71932422006032	37.503947019328386
인천광역시 부평구 원적로471번길 30	126.71962224703204	37.504544271091405
인천광역시 부평구 원적로481번길 11	126.72001195403863	37.50391621531221
인천광역시 부평구 원적로471번길 32-6	126.7200322446531	37.50453975725007
인천광역시 부평구 원적로481번길 3	126.72007224315209	37.503519916986534
인천광역시 부평구 원적로471번길 8-5	126.71942903548573	37.50374183970861
인천광역시 부평구 원적로 477-1	126.7196015312744	37.50358367280247
인천광역시 부평구 원적로481번길 9	126.72003947344943	37.50381536823096
인천광역시 부평구 원적로481번길 13-5	126.71981289482595	37.50391934734175
인천광역시 부평구 원적로471번길 26-15	126.7198701417789	37.504337548355664
인천광역시 부평구 원적로 463-1	126.71808613045444	37.5035656499551
인천광역시 부평구 원적로 463	126.71796389443888	37.50359058625036
인천광역시 부평구 원적로481번길 13-6	126.71976709139024	37.50407060714491
인천광역시 부평구 원적로471번길 26-17	126.71986594117084	37.504251042139295
인천광역시 부평구 원적로 481	126.7200091799238	37.50344768730636
인천광역시 부평구 원적로471번길 16-8	126.71943736822082	37.503932872075545
인천광역시 부평구 원적로 479-1	126.71973720326231	37.50359480680017
인천광역시 부평구 원적로 479-2	126.71986388165817	37.50359150327028
인천광역시 부평구 원적로 477	126.71950230547534	37.503504148987005
인천광역시 부평구 원적로471번길 36	126.71990485105403	37.504734071813324
인천광역시 부평구 원적로 487-1	126.72082817795747	37.503395565513
인천광역시 부평구 원적로 485	126.72058835280548	37.503413018547775
인천광역시 부평구 부평대로141번길 9	126.72079010909964	37.503900037091164
인천광역시 부평구 부평대로 143-2	126.72104891840054	37.50431288573542
인천광역시 부평구 부평대로 135-1	126.72125739692771	37.50354073955414
인천광역시 부평구 부평대로 143-8	126.72104891840054	37.50431288573542
인천광역시 부평구 원적로 487	126.72072858864838	37.503413350168124
인천광역시 부평구 부평대로 143-19	126.7207891964397	37.5041451076724
인천광역시 부평구 원적로 489	126.72095482914955	37.50339946877064
인천광역시 부평구 부평대로159번길 31	126.72056154324035	37.50453740652271
인천광역시 부평구 부평대로 143-11	126.72086985330556	37.50409531813323
인천광역시 부평구 부평대로 143-10	126.72094492259286	37.50431200429431
인천광역시 부평구 부평대로149번길 7	126.72072853469898	37.504642317740775
인천광역시 부평구 부평대로 143-7	126.72104520753275	37.504175677569485
인천광역시 부평구 부평대로149번길 11	126.72052505724523	37.50461660843757
인천광역시 부평구 부평대로 145-22	126.72061545285345	37.50463844633182
인천광역시 부평구 부평대로 143-13	126.72088582506852	37.504168801017656
인천광역시 부평구 부평대로 145-18	126.72065205961907	37.50452680858
인천광역시 부평구 부평대로141번길 10	126.72079392154052	37.504091058678725
인천광역시 부평구 부평대로 145-16	126.72072435993518	37.504548603597755
인천광역시 부평구 부평대로 135-2	126.72125255160695	37.50362722438864
인천광역시 부평구 부평대로149번길 4	126.72097691510157	37.504758233027125
인천광역시 부평구 부평대로 159	126.72099614094648	37.50567009300586
인천광역시 부평구 부평대로 157	126.72101910900419	37.50557644299501
인천광역시 부평구 부평대로 157-1	126.72090151528279	37.50556895719231
인천광역시 부평구 길주로508번길 43-7	126.71919612557036	37.50553608344026
인천광역시 부평구 길주로508번길 43-1	126.71885220376062	37.50556409746081
인천광역시 부평구 길주로508번길 43-8	126.7191874963169	37.50542433862177
인천광역시 부평구 길주로508번길 43-2	126.71884362907981	37.50543793670914
인천광역시 부평구 길주로508번길 33-1	126.71890512535289	37.505928228381386
인천광역시 부평구 길주로516번길 36-1	126.71905499440393	37.505773612506445
인천광역시 부평구 길주로508번길 39-1	126.71887891450562	37.505679489342626
인천광역시 부평구 길주로516번길 34-1	126.71906813387702	37.50588897206386
인천광역시 부평구 길주로516번길 40-1	126.71904636533581	37.50566186768289
인천광역시 부평구 길주로508번길 35-1	126.71888750278464	37.50580204610949
인천광역시 부평구 길주로494번길 61	126.71707715354552	37.50481022532871
인천광역시 부평구 경원대로1347번길 38-5	126.72018942482423	37.492726171453796
인천광역시 부평구 경원대로1347번길 12-6	126.71938401167857	37.49159620348245
인천광역시 부평구 경원대로1347번길 38-3	126.72008081681535	37.492740330239826
인천광역시 부평구 경원대로1357번길 1	126.71934809718393	37.491524037803686
